continent,country,last_updated_day,gust_mph,visibility_km,uv_index,air_quality_Ozone
Asia,Turkmenistan,2023-09-03,2.5,10.0,1,58.7
Asia,Turkmenistan,2023-09-04,7.2,10.0,1,52.2
Asia,Turkmenistan,2023-09-05,22.4,10.0,1,44.4
Asia,Turkmenistan,2023-09-06,14.3,10.0,1,53.6
Asia,Turkmenistan,2023-09-07,11.2,10.0,1,53.6
Asia,Turkmenistan,2023-09-08,20.1,10.0,1,73.7
Asia,United Arab Emirates,2023-08-29,25.1,10.0,9,320.4
Asia,United Arab Emirates,2023-08-30,7.8,10.0,8,77.3
Asia,United Arab Emirates,2023-08-31,9.2,10.0,1,70.8
Asia,United Arab Emirates,2023-09-01,9.8,10.0,1,131.6
Asia,United Arab Emirates,2023-09-02,12.5,10.0,1,183.1
Asia,United Arab Emirates,2023-09-03,8.1,10.0,1,143.1
Asia,United Arab Emirates,2023-09-04,19.9,10.0,1,128.8
Asia,United Arab Emirates,2023-09-05,8.9,10.0,1,117.3
Asia,United Arab Emirates,2023-09-06,16.3,8.0,1,125.9
Asia,United Arab Emirates,2023-09-07,22.1,10.0,1,188.8
Asia,United Arab Emirates,2023-09-08,26.2,10.0,1,100.1
Asia,Yemen,2023-08-29,4.7,10.0,6,114.4
Asia,Yemen,2023-08-30,4.7,10.0,5,41.8
Asia,Yemen,2023-08-31,6.5,9.0,1,50.1
Asia,Yemen,2023-09-01,2.2,9.0,1,51.5
Asia,Yemen,2023-09-02,14.5,10.0,1,61.5
Asia,Yemen,2023-09-03,8.3,10.0,1,78.0
Asia,Yemen,2023-09-04,5.4,10.0,1,55.8
Asia,Yemen,2023-09-05,5.1,10.0,1,60.1
Asia,Yemen,2023-09-06,11.6,10.0,1,85.8
Asia,Yemen,2023-09-07,11.6,10.0,1,65.1
Asia,Yemen,2023-09-08,18.8,10.0,1,76.5
Europe,Greece,2023-08-29,10.5,10.0,8,177.4
Europe,Greece,2023-08-30,14.1,10.0,1,72.2
Europe,Greece,2023-08-31,13.6,10.0,1,98.7
Europe,Greece,2023-09-01,11.0,10.0,1,79.4
