country,continent,wind_direction,wind_mph,wind_kph,humidity,cloud,precip_mm,precip_in,pressure_mb,pressure_in,visibility_km,visibility_miles,uv_index,gust_mph,gust_kph
Bahrain,Asia,S,3.8,6.1,63.0,0.0,0.0,0.0,1002.0,29.59,9.0,5.0,1.0,4.7,7.6
Bahrain,Asia,SE,6.85,11.0,71.0,0.0,0.0,0.0,1001.0,29.560000000000002,8.5,5.0,1.0,11.3,18.15
Bahrain,Asia,SSW,4.699999999999999,7.55,77.5,0.0,0.0,0.0,1001.5,29.575,7.25,4.0,1.0,6.75,10.8
Bahrain,Asia,W,5.6,9.0,47.0,0.0,0.0,0.0,1003.0,29.62,10.0,6.0,1.0,17.7,28.4
Bangladesh,Asia,ESE,9.8,15.8,86.0,100.0,0.0,0.0,1004.0,29.64,10.0,6.0,1.0,13.6,22.0
Bangladesh,Asia,NE,2.2,3.6,61.0,10.0,0.0,0.0,1005.0,29.68,10.0,6.0,8.0,2.9,4.7
Bangladesh,Asia,S,3.4,5.4,76.5,43.5,0.05,0.0,1003.5,29.634999999999998,10.0,6.0,1.0,5.35,8.65
Bangladesh,Asia,SE,5.8,9.4,93.0,48.0,0.0,0.0,1005.0,29.69,10.0,6.0,1.0,9.6,15.5
Bangladesh,Asia,SSE,6.066666666666666,9.700000000000001,85.0,59.0,0.16666666666666666,0.006666666666666667,1003.0,29.623333333333335,10.0,6.0,1.0,9.033333333333333,14.533333333333333
Bangladesh,Asia,SSW,6.9,11.2,82.0,80.0,0.1,0.0,1004.0,29.66,10.0,6.0,1.0,11.0,17.6
Bangladesh,Asia,W,3.4,5.4,52.0,70.0,0.0,0.0,1000.0,29.53,10.0,6.0,7.0,4.7,7.6
Bangladesh,Asia,WSW,4.5,7.199999999999999,77.0,62.5,0.2,0.01,1002.0,29.585,9.5,5.5,1.0,7.65,12.25
Barbados,America,E,12.633333333333333,20.349999999999998,81.0,29.166666666666668,0.13333333333333333,0.005,1012.5,29.896666666666665,10.0,6.0,1.0,18.133333333333336,29.166666666666668
Barbados,America,ESE,12.08,19.44,85.0,45.0,0.24,0.008,1012.4,29.892000000000003,10.0,6.0,1.0,21.660000000000004,34.86
Barbados,America,SW,6.9,11.2,79.0,25.0,0.1,0.0,1010.0,29.83,10.0,6.0,6.0,10.1,16.2
Belarus,Europe,E,6.9,11.2,61.0,0.0,0.0,0.0,1012.0,29.88,10.0,6.0,6.0,13.2,21.2
Belarus,Europe,ESE,4.3,6.8,88.0,0.0,0.0,0.0,1007.0,29.74,10.0,6.0,1.0,17.4,28.1
Belarus,Europe,N,4.3,6.8,100.0,0.0,0.0,0.0,1026.0,30.3,10.0,6.0,1.0,11.6,18.7
Belarus,Europe,NNE,4.3,6.8,87.0,0.0,0.0,0.0,1020.0,30.12,10.0,6.0,1.0,12.3,19.8
Belarus,Europe,NNW,4.3,6.8,94.0,0.0,0.1,0.0,1021.0,30.15,6.0,3.0,1.0,9.2,14.8
Belarus,Europe,NW,2.5,4.0,98.0,0.0,0.0,0.0,1025.6666666666667,30.290000000000003,10.0,6.0,1.0,4.966666666666667,8.066666666666668
Belarus,Europe,SE,9.4,15.1,100.0,37.0,2.4,0.09,1007.0,29.74,10.0,6.0,1.0,20.4,32.8
Belarus,Europe,SSW,3.25,5.2,100.0,12.5,0.0,0.0,1014.5,29.955,8.5,5.0,1.0,13.75,22.15
Belarus,Europe,SW,4.3,6.8,88.0,0.0,0.0,0.0,1022.0,30.18,10.0,6.0,1.0,16.3,26.3
Belgium,Europe,E,2.5999999999999996,4.225,85.25,0.0,0.0,0.0,1022.75,30.2025,9.0,5.25,1.0,13.65,21.975
Belgium,Europe,ENE,2.35,3.8,88.5,0.0,0.0,0.0,1017.5,30.045,10.0,6.0,1.0,11.6,18.7
Belgium,Europe,NE,3.0,4.85,80.5,0.0,0.0,0.0,1023.0,30.21,10.0,6.0,1.0,10.95,17.65
Belgium,Europe,NNE,4.3,6.8,94.0,0.0,0.0,0.0,1025.0,30.27,8.0,4.0,1.0,11.4,18.4
Belgium,Europe,NNW,2.2,3.6,88.0,0.0,0.0,0.0,1017.0,30.03,2.2,1.0,1.0,4.3,6.8
Belgium,Europe,S,4.5,7.2,87.25,18.75,0.225,0.01,1014.75,29.965,10.0,6.0,1.0,11.625,18.7
Belgium,Europe,SE,4.033333333333332,6.466666666666668,90.33333333333333,25.0,0.3,0.013333333333333334,1014.0,29.94,10.0,6.0,1.0,9.866666666666665,15.833333333333334
Belgium,Europe,SSE,4.3,6.8,82.0,75.0,0.0,0.0,1008.0,29.77,10.0,6.0,1.0,9.8,15.8
Belgium,Europe,SW,5.3,8.533333333333333,94.0,33.333333333333336,1.1333333333333333,0.043333333333333335,1011.3333333333334,29.866666666666664,9.333333333333334,5.333333333333333,1.0,10.733333333333334,17.266666666666666
Belgium,Europe,W,4.3,6.8,77.0,25.0,0.0,0.0,1012.0,29.88,10.0,6.0,5.0,6.3,10.1
Belgium,Europe,WNW,2.2,3.6,83.0,0.0,0.0,0.0,1017.0,30.03,8.0,4.0,1.0,2.9,4.7
Belgium,Europe,WSW,3.8,6.1,82.0,25.0,0.0,0.0,1013.0,29.91,10.0,6.0,5.0,5.8,9.4
Belize,America,E,7.928571428571429,12.771428571428572,76.14285714285714,39.285714285714285,0.05714285714285715,0.002857142857142857,1010.8571428571429,29.84857142857143,10.0,6.0,7.428571428571429,9.942857142857145,16.014285714285716
Belize,America,NW,3.8,6.1,89.0,25.0,0.1,0.0,1009.0,29.8,10.0,6.0,6.0,6.5,10.4
Belize,America,S,3.25,5.199999999999999,85.0,68.0,0.05,0.0,1009.5,29.82,10.0,6.0,4.0,7.5,12.05
Belize,America,SE,3.8,6.1,79.0,25.0,0.3,0.01,1010.0,29.83,10.0,6.0,6.0,12.5,20.2
Belize,America,SW,4.3,6.8,95.0,70.0,0.7,0.03,1009.0,29.78,9.0,5.0,1.0,7.6,12.2
Benin,Africa,SSW,7.5,12.05,91.5,50.0,4.0,0.155,1013.5,29.925,10.0,6.0,1.0,17.1,27.55
Benin,Africa,SW,10.528571428571428,16.928571428571427,89.0,35.714285714285715,2.3857142857142857,0.09428571428571429,1013.8571428571429,29.935714285714283,10.0,6.0,1.7142857142857142,10.614285714285716,17.071428571428573
Benin,Africa,W,12.5,20.2,94.0,75.0,0.0,0.0,1015.0,29.97,3.2,1.0,1.0,14.5,23.4
Benin,Africa,WSW,11.9,19.1,91.5,62.5,0.05,0.0,1013.5,29.925,9.0,5.0,1.0,9.85,15.85
Bhutan,Asia,NE,4.2,6.780000000000001,91.4,37.6,0.06,0.002,1014.0,29.945999999999998,9.8,5.8,1.0,8.84,14.26
Bhutan,Asia,NNE,2.966666666666667,4.8,93.66666666666667,49.333333333333336,0.0,0.0,1014.0,29.94333333333333,4.666666666666667,2.6666666666666665,1.0,5.366666666666667,8.633333333333333
Bhutan,Asia,NNW,2.2,3.6,94.0,72.0,0.1,0.0,1014.0,29.93,2.0,1.0,1.0,3.1,5.0
Bhutan,Asia,SSW,3.8000000000000003,6.1,85.5,77.0,0.65,0.025,1009.0,29.8,9.5,5.5,2.5,3.9000000000000004,6.3
Bhutan,Asia,SW,3.4,5.4,65.0,11.0,0.0,0.0,1011.0,29.86,10.0,6.0,5.0,3.8,6.1
Bolivia,America,ENE,4.3,6.8,52.0,7.0,0.0,0.0,1018.0,30.05,10.0,6.0,1.0,5.8,9.4
Bolivia,America,ESE,2.2,3.6,40.0,28.0,0.0,0.0,1009.0,29.79,10.0,6.0,1.0,3.8,6.1
Bolivia,America,N,4.0,6.45,35.5,19.5,0.016666666666666666,0.0,1005.5,29.685,10.0,6.0,1.0,7.25,11.699999999999998
Bolivia,America,NE,8.25,13.3,57.0,37.5,0.1,0.005,1013.0,29.905,10.0,6.0,1.0,10.55,16.9
Bolivia,America,NNE,8.783333333333333,14.15,45.333333333333336,17.833333333333332,0.9333333333333332,0.03666666666666667,1008.8333333333334,29.791666666666668,9.666666666666666,5.666666666666667,1.8333333333333333,11.15,17.933333333333334
Bolivia,America,NNW,2.2,3.6,40.0,15.0,0.0,0.0,1007.0,29.73,10.0,6.0,1.0,3.4,5.4
Bolivia,America,NW,7.8,12.6,68.0,70.0,0.9,0.04,1013.0,29.91,9.0,5.0,1.0,10.3,16.6
Bolivia,America,SSE,2.2,3.6,30.0,9.0,0.0,0.0,1007.0,29.73,10.0,6.0,1.0,3.4,5.4
Bolivia,America,W,2.2,3.6,41.5,8.5,0.0,0.0,1011.5,29.865000000000002,10.0,6.0,1.0,4.7,7.6
Bolivia,America,WNW,2.2,3.6,57.0,16.0,0.0,0.0,1011.0,29.85,10.0,6.0,1.0,2.9,4.7
Bolivia,America,WSW,2.35,3.8,54.5,63.0,0.1,0.005,1007.0,29.74,9.5,5.5,1.0,4.25,6.8500000000000005
Bosnia and Herzegovina,Europe,E,2.2,3.6,100.0,0.0,0.0,0.0,1022.0,30.18,10.0,6.0,1.0,6.0,9.7
Bosnia and Herzegovina,Europe,ENE,2.2,3.6,100.0,75.0,0.0,0.0,1023.0,30.21,10.0,6.0,1.0,5.1,8.3
Bosnia and Herzegovina,Europe,ESE,3.0,4.85,91.0,37.5,0.0,0.0,1020.5,30.134999999999998,8.5,5.0,1.0,5.6,9.0
Bosnia and Herzegovina,Europe,N,3.25,5.2,80.0,62.5,1.45,0.055,1022.0,30.18,10.0,6.0,1.0,11.05,17.85
Bosnia and Herzegovina,Europe,NW,2.5,4.0,100.0,0.0,0.0,0.0,1022.0,30.18,10.0,6.0,1.0,6.9,11.2
Bosnia and Herzegovina,Europe,S,2.2,3.6,100.0,0.0,0.0,0.0,1011.0,29.85,10.0,6.0,1.0,7.6,12.2
Bosnia and Herzegovina,Europe,SE,10.4,16.75,73.5,25.0,0.0,0.0,1014.0,29.945,10.0,6.0,3.5,8.95,14.4
Bosnia and Herzegovina,Europe,SSE,2.2,3.6,94.0,12.5,1.75,0.07,1014.0,29.945,10.0,6.0,1.0,5.8,9.350000000000001
Botswana,Africa,ENE,6.9,11.2,24.0,0.0,0.0,0.0,1020.0,30.12,10.0,6.0,1.0,10.7,17.3
Botswana,Africa,ESE,5.166666666666667,8.266666666666667,49.666666666666664,0.0,0.0,0.0,1023.0,30.210000000000004,10.0,6.0,1.0,7.666666666666667,12.366666666666667
Botswana,Africa,NE,9.4,15.1,35.0,6.0,0.0,0.0,1031.0,30.44,10.0,6.0,5.0,10.7,17.3
Botswana,Africa,NNE,4.8,7.7,29.333333333333332,0.0,0.0,0.0,1017.3333333333334,30.043333333333337,10.0,6.0,1.0,7.533333333333332,12.1
Botswana,Africa,SSE,9.4,15.1,58.0,0.0,0.0,0.0,1025.0,30.27,10.0,6.0,1.0,5.1,8.3
Botswana,Africa,SSW,6.9,11.2,22.0,0.0,0.0,0.0,1020.0,30.12,10.0,6.0,1.0,11.2,18.0
Botswana,Africa,SW,5.6,9.0,20.0,0.0,0.0,0.0,1021.0,30.15,10.0,6.0,1.0,9.4,15.1
Botswana,Africa,WSW,4.3,6.8,45.0,0.0,0.0,0.0,1021.0,30.15,10.0,6.0,1.0,6.5,10.4
